GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
G100000112660,L100000101431,China,https://www.gem.wiki/Yanzhou_Mine_Jisan_power_station,Yanzhou Mine Jisan power station,Unit 1,,兖矿集团济三电力发电厂,Shandong Yankuang Jisan Electric Power Co Ltd [100%],Yankuang Energy Group Co Ltd [99.0%]; other [1.0%],135,operating,2006,,,subcritical,waste coal,,,Shiqiao,Yanzhou District,Jining,Shandong,Eastern Asia,Asia,35.268286,116.659782,exact,,,,,,,18,0.53,11312.6,94600,0.707720968,22,15.56986129
G100000115689,L100000104961,China,https://www.gem.wiki/Yanzhou_Yinhe_power_station,Yanzhou Yinhe power station,Unit 4,,兖州市银河电力有限公司发电厂,Yanzhou Yinhe Electric POWER Co Ltd [100%],natural person(s) [66.8%]; Hixih Rubber Industrial Group Co Ltd [33.2%],50,operating,2014,,,CFB,unknown,,,,Yanzhou,Jining,Shandong,Eastern Asia,Asia,35.501503,116.785399,exact,,,,,,,10,0.53,11312.6,96100,0.266275096,30,7.988252877
G100000113280,L100000101432,China,https://www.gem.wiki/Yellow_River_Delta_power_station,Yellow River Delta power station,Unit 1,滨州市东郊公共供热中心,滨化集团黄河三角洲滨州热电,Huanghe Sanjiaozhou (Binzhou) Thermal Power Co Ltd [100%],other [68.1%]; China Development Bank Corp [21.8%]; Binzhou Heyi Industrial Investment Partnership LP [5.5%]; Befar Group Co Ltd [4.6%],50,operating,2018,,,subcritical,unknown,,,Huanghe East Road,Bincheng District,Binzhou,Shandong,Eastern Asia,Asia,37.37808,118.079077,exact,,,,aluminum,both,heat,6,0.53,10442.4,96100,0.245792396,34,8.356941472
G100000114450,L100000104654,China,https://www.gem.wiki/Yishui_County_cogen_power_station,Yishui County cogen power station,Unit 5,,沂水县热电,Yishui Thermoelectric Co Ltd [100%],Shandong Fiberglass Group Co Ltd [100.0%],30,operating,,,,unknown,unknown,,,,Yishui,Linyi,Shandong,Eastern Asia,Asia,35.759201,118.611853,exact,,,,,,,20,0.53,12047,96100,0.170136807,20,3.40273615
G100000115284,L100000104895,China,https://www.gem.wiki/Yitong_Boyuan_power_station,Yitong Boyuan power station,Unit 3,,青岛西海岸公用事业集团易通热电有限公司博源热电厂,Qingdao West Coast Utillity Group Yitong Themal Power Co Ltd [100%],Qingdao West Coast Public Utility Group Co Ltd [51.0%]; Qingdao West Coast New Area Integration Holding Group Co Ltd [49.0%],30,operating,,,,unknown,unknown,,,,Huangdao,Qingdao,Shandong,Eastern Asia,Asia,35.836439,119.987172,exact,,,,,,,20,0.53,12047,96100,0.170136807,20,3.40273615
G100000115671,L100000104962,China,https://www.gem.wiki/Yiyuan_Yuanneng_cogen_power_station,Yiyuan Yuanneng cogen power station,New unit 1,沂源县化工产业园区配套能源中心,沂源县源能热电厂,Yiyuan Yuanneng Thermal Power Co Ltd [100%],Yiyuan High Tech Industrial Park Development Co Ltd [34.0%]; Yiyuan County Nanma Street Collective Assets Management Center [18.0%]; Shandong Yuantai Venture Capital Group Co Ltd [15.0%]; Yiyuan ASUS Venture Capital Center LP [10.4%]; Yiyuan Hongxin Venture Capital Center LP [8.7%]; Yiyuan Huada Investment Development Center LP [7.3%]; Yiyuan Zhixin Investment Development Center LP [6.6%],50,operating,2020,,,CFB,unknown,,,Hujiagou village,Yiyuan,Zibo,Shandong,Eastern Asia,Asia,36.182014,118.26031,exact,,,,,,,4,0.53,10442.4,96100,0.245792396,36,8.848526264
G100000111498,L100000101433,China,https://www.gem.wiki/Yunhe_power_station,Yunhe power station,Phase II Unit 5,,华能运河电厂,Huaneng Jining Canal Power Generation Co Ltd [100%],Huaneng Power International Inc [78.7%]; China Huaneng Group Co Ltd [19.7%]; other [1.6%],330,operating,2006,,,subcritical,bituminous,,,Changgou Town,Rencheng District,Jining,Shandong,Eastern Asia,Asia,35.486657,116.47694,exact,16-Oct,16-Oct,"Year: 2016, Month: 10",,,,18,0.53,10442.4,94600,1.59690885,22,35.1319947
G100000113281,L100000101435,China,https://www.gem.wiki/Zaozhuang_Nanjiao_cogen_power_station,Zaozhuang Nanjiao cogen power station,Unit 1,,枣庄市南郊热电,Zaozhuang Nanjiao Thermal Power Co Ltd [100%],Shandong Quanxing Energy Group Co Ltd [90.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],55,operating,2005,,,subcritical,unknown,,,Yong'an Town,Shizhong District,Zaozhuang,Shandong,Eastern Asia,Asia,34.829569,117.513033,exact,,,,,,,19,0.53,11312.6,96100,0.292902605,21,6.150954715
G100000111561,L100000101436,China,https://www.gem.wiki/Zhangdian_power_station,Zhangdian power station,Unit 2,"淄博众合热电公司 (Unit 4), 山东力久实业热电厂 (Unit 2, Unit 5)",淄博热电集团张店热电厂,Zibo Lijiu Industry Co Ltd [100%],Zibo Thermal Power Group Co Ltd [99.0%]; other [1.0%],30,operating,1989,,,subcritical,anthracite,,,Lijiazhuang Village,Zhangdian District,Zibo,Shandong,Eastern Asia,Asia,36.795128,118.092936,exact,,,,,,,35,0.53,12617.9,98300,0.182278976,5,0.91139488
G100000111588,L100000101437,China,https://www.gem.wiki/Zhangqiu_power_station,Zhangqiu power station,Unit 1,,华电国际章丘发电厂,Huadian Zhangqiu Power Generation Co Ltd [100%],Huadian Power International Co Ltd [87.5%]; other [6.5%]; Shandong Longshan Industrial Development Investment Group Co Ltd [6.0%],145,operating,2002,,,subcritical,anthracite,,,Longshan Town,Zhangqiu,Jinan,Shandong,Eastern Asia,Asia,36.7275338,117.403642,exact,,,,,,,22,0.53,12182.8,98300,0.850635222,18,15.31143399
G100000113942,L100000104472,China,https://www.gem.wiki/Zhaoyuan_Linglong_cogen_power_station,Zhaoyuan Linglong cogen power station,Unit 5,,玲珑轮胎招远玲珑热电,Zhaoyuan Linglong Thermal Power Co Ltd [100%],Shandong Linglong Rubber Co Ltd [100.0%],50,retired,,2018,,unknown,unknown,,,Linglong Town,Zhaoyuan,Yantai,Shandong,Eastern Asia,Asia,37.388836,120.436549,exact,,,,rubber,,,20,0.53,12047,96100,0.283561346,0,0
G100000112939,L100000101439,China,https://www.gem.wiki/Zhongxing_Penglai_power_station,Zhongxing Penglai power station,Unit 1,,中兴电力蓬莱发电项目,Zhongxing Power Penglai Power Generation Co Ltd [100%],Beijing Longshun Equipment Leasing Co Ltd [72.0%]; Beijing Fenghua Freight Forwarding Service Co Ltd [28.0%],1000,construction,2024,,,ultra-supercritical,unknown,,,Luanjiakou Harbor,Penglai,Yantai,Shandong,Eastern Asia,Asia,37.773226,120.611854,exact,"March 30, 2018 – 鲁发改能审〔2018〕5号",30-Mar-18,"Year: 2018, Month: 3, Day: 30",,,,0,0.53,8272,96100,3.894113808,40,155.7645523
G100000112815,L100000101440,China,https://www.gem.wiki/Zibo_Fushan_power_station,Zibo Fushan power station,Unit 5,,淄博傅山热电厂,Shandong Zibo Fushan Thermal Power Co Ltd [100%],Shandong Zibo Fushan Thermal Power Co Ltd [100.0%],50,operating,2009,,,unknown,unknown,,,Weigu Town,Zhangdian District,Zibo,Shandong,Eastern Asia,Asia,36.886052,118.135518,exact,,,,chemicals,both,heat,15,0.53,11186.5,96100,0.263306964,25,6.582674099
G100000111727,L100000101441,China,https://www.gem.wiki/Zibo_Hongda_power_station,Zibo Hongda power station,"Unit 3, timepoint 1",,淄博宏达热电,Zibo Hongda Thermoelectricity Co Ltd [100%],natural person(s) [62.4%]; Shanghai Langhui Enterprise Development Co Ltd [37.6%],50,retired,2004,2023,,subcritical,unknown,,,Fenghuang Town,Linzi,Zibo,Shandong,Eastern Asia,Asia,36.783333,118.05,exact,,,,chemicals,both,heat,19,0.53,11312.6,96100,0.266275096,0,0
G100000114454,L100000104656,China,https://www.gem.wiki/Zibo_Qilin_Guihe_cogen_power_station,Zibo Qilin Guihe cogen power station,Unit 3,,淄博齐林贵和热电,Zibo Qilin Guihe Thermoelectricity Co Ltd [100%],Shandong Jinzeguihe Investment Management Co Ltd [41.7%]; Huantai Jinhai Public Assets Management Co Ltd [35.0%]; Zibo Juying Trading Co Ltd [23.3%],50,operating,,,2021,unknown,unknown,,,,Huantai,Zibo,Shandong,Eastern Asia,Asia,37.007369,118.080358,exact,,,,,,,20,0.53,12047,96100,0.283561346,5,1.417806729
G100000114456,L100000104657,China,https://www.gem.wiki/Zibo_Qixiang_Tengda_Chemical_power_station,Zibo Qixiang Tengda Chemical power station,Unit 1,,淄博齐翔腾达化工自备电厂,Zibo Qixiang Tengda Chemical Co Ltd [100%],Zibo Qixiang Tengda Chemical Co Ltd [100.0%],30,operating,,,,unknown,unknown,,,,Linzi,Zibo,Shandong,Eastern Asia,Asia,36.744167,118.153355,exact,,,,chemicals,,,20,0.53,12047,96100,0.170136807,20,3.40273615
G100000114469,L100000104665,China,https://www.gem.wiki/Zouping_County_Electric_Power_Group_power_station,Zouping County Electric Power Group power station,Unit 1,,齐星集团邹平县电力集团热电,Zouping Qixing Development Zone Thermal Power Co Ltd [100%],Wuhu Runxin Investment Partnership LP [99.9%],50,retired,,2019,,unknown,unknown,,,,Zouping,Binzhou,Shandong,Eastern Asia,Asia,36.899823,117.738219,exact,,,,,,,20,0.53,12047,96100,0.283561346,0,0
G100000111749,L100000101442,China,https://www.gem.wiki/Zouxian_power_station,Zouxian power station,Unit 1,,华电国际邹县发电厂,Zouxian Power Plant of Huadian International Power Co Ltd [100%],Huadian Power International Co Ltd [100.0%],335,operating,1985,,,subcritical,bituminous,,,Tangcun Town,Zoucheng,Jining,Shandong,Eastern Asia,Asia,35.3255698,116.9260912,exact,,,,,,,39,0.53,11747.7,94600,1.823742494,1,1.823742494
