Longitude,Latitude,condensing_tower,chimney,power_plant_unit,total_score,probs0,probs1,preds
118.2102053,36.7853194,0.565110624,0.334369493,1.769473344,2.66895346,1.53E-09,1,1
117.8906602,37.34658194,0.784999735,0.220921054,1.651999235,2.657920025,4.70E-12,1,1
118.0681292,36.74941565,0.518889839,0.282753511,1.646951497,2.448594846,2.35E-07,0.999999762,1
118.849993,36.73977936,0.519258079,0.345301664,1.478142381,2.342702124,4.01E-11,1,1
116.513501,36.21154662,0.542590526,0.392811905,1.087581545,2.022983976,3.15E-10,1,1
116.3663598,37.51401929,0.50505082,0.218724417,1.286143243,2.00991848,7.96E-10,1,1
119.036784,35.17252313,0.653989077,0.256612899,0.96646148,1.877063456,6.04E-07,0.999999404,1
115.9096077,36.46694984,0.737067786,0.317773297,0.778971672,1.833812756,1.31E-08,1,1
118.7523938,37.02249199,0.515339763,0.316099024,0.968920112,1.800358899,8.08E-06,0.999991894,1
116.9403347,34.86739629,0.660977969,0.233721817,0.84656778,1.741267565,0.000426523,0.999573529,1
117.1351329,36.07626419,0.404729093,0.312122446,0.987638116,1.704489655,0.011586479,0.988413513,1
116.5623412,35.09339337,0.537635449,0.234089642,0.920695335,1.692420426,5.27E-10,1,1
117.0012643,36.70758033,0.424013464,0.337762318,0.917166114,1.678941895,1.14E-08,1,1
119.4070626,36.01585321,0.423843439,0.276014148,0.905799598,1.605657184,0.019236496,0.980763555,1
118.2956796,35.24888696,0.542180908,0.096491921,0.930995405,1.569668233,0.001297005,0.998703003,1
118.0547738,36.75964952,0.643958285,0.104036283,0.772909909,1.520904478,0.035063587,0.964936376,1
118.1306057,37.15882144,0.42277929,0.164499331,0.918517709,1.505796329,0.000302949,0.999697089,1
118.4046758,37.07828088,0.423936866,0.169379167,0.896433085,1.489749118,0.018298371,0.981701612,1
118.1697856,36.79706655,0.620552846,0.159097154,0.706412435,1.486062436,8.70E-07,0.999999166,1
118.9511067,36.97199941,0.299284852,0.275213619,0.910260975,1.484759446,0.000109859,0.999890089,1
117.9419774,36.65310937,0.484684159,0.282136104,0.694169462,1.460989724,0.018635109,0.981364906,1
118.8062746,36.69620445,0.423429814,0.257643145,0.763858676,1.444931635,0.024297861,0.975702167,1
119.0316731,37.12971896,0.67022444,0.280757843,0.480449408,1.431431691,0.003103449,0.996896505,1
118.5292593,36.99429181,0.598049855,0.32013207,0.494599491,1.412781417,0.10510882,0.894891202,1
117.9904296,37.47838163,0.423912501,0,0.952094108,1.376006609,0.035546362,0.964453578,1
120.1318716,36.01216499,0.423753514,0.182505763,0.767550975,1.373810252,0.000146967,0.999853015,1
116.1561153,36.24082487,0.624935656,0.355227226,0.382016271,1.362179154,0.076764092,0.923235893,1
