FID,country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimated1,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8
15,CHN,China,Heze Huarun power station,WRI1070115,1200,35.252600000000001,115.686000000000007,Coal, , , ,2011,China Resources Power Holdings Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1086179, , , , , , , , , , , , , ,5847.220000000000255,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
16,CHN,China,Heze power station,WRI1070114,1510,35.240699999999997,115.533500000000004,Coal, , , ,2002,China Guodian Group Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028532, , , , , , , , , , , , , ,7357.760000000000218,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
17,CHN,China,Huadian Laizhou power station,WRI1070341,2078,37.432299999999998,120.017700000000005,Coal, , , ,2012,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1072758, , , , , , , , , , , , , ,10125.450000000000728,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
18,CHN,China,Huadian Longkou power station,WRI1070334,880,37.680900000000001,120.313199999999995,Coal, , , ,1990,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028538, , , , , , , , , , , , , ,4287.960000000000036,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
19,CHN,China,Huadian Shiliquan power station,WRI1070566,2060,34.814399999999999,117.573099999999997,Coal, , , ,2003,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028545, , , , , , , , , , , , , ,10037.739999999999782,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
20,CHN,China,Huadian Weifang power station,WRI1070569,2000,36.665599999999998,119.263199999999998,Coal, , , ,2002,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028547, , , , , , , , , , , , , ,9745.379999999999200,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
21,CHN,China,Huadian Zibo power station,WRI1070289,950,36.760199999999998,118.053200000000004,Coal, , , ,2007,Huadian Power International Company Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1058363, , , , , , , , , , , , , ,4629.050000000000182,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
22,CHN,China,Huaneng Jiaxiang power station,WRI1070648,660,35.384500000000003,116.443200000000004,Coal, , , ,2007,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1088271, , , , , , , , , , , , , ,3215.969999999999800,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
23,CHN,China,Huaneng Laiwu power station,WRI1070125,2660,36.133899999999997,117.685000000000002,Coal, , , ,2009,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028537, , , , , , , , , , , , , ,12961.350000000000364,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
24,CHN,China,Huaneng Qufu power station,WRI1070311,450,35.607799999999997,116.933800000000005,Coal, , , ,2006,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,2192.710000000000036,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
25,CHN,China,Huaneng Yantai power station,WRI1070288,590,37.532600000000002,121.315899999999999,Coal, , , ,1999,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028549, , , , , , , , , , , , , ,2874.880000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26,CHN,China,Huangdao power station,WRI1070120,1770,36.039000000000001,120.219300000000004,Coal, , , ,1999,Datang Shandong Power Generation Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028534, , , , , , , , , , , , , ,8624.659999999999854,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
27,CHN,China,Huangtai power station,WRI1070118,1360,36.707799999999999,117.087999999999994,Coal, , , ,1992,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028535, , , , , , , , , , , , , ,6626.850000000000364,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
28,CHN,China,Huantai power station,WRI1075638,180,36.978800000000000,118.039900000000003,Coal, , , ,0,Huantai County Power Plant,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,877.080000000000041,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
29,CHN,China,Jining Yangcheng power station,WRI1075659,300,35.772700000000000,116.319400000000002,Coal, , , ,2009,Luneng Coal Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1461.799999999999955,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
30,CHN,China,Laicheng power station,WRI1072552,1200,36.254700000000000,117.672499999999999,Coal, , , ,2001,Huadian Power International Corporation Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028536, , , , , , , , , , , , , ,5847.220000000000255,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
31,CHN,China,Liaocheng Zhonghua power station,WRI1070344,1200,36.465899999999998,115.909400000000005,Coal, , , ,2002,Shandong Zhonghua Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028528, , , , , , , , , , , , , ,5847.220000000000255,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
32,CHN,China,Linyi Huasheng power station,WRI1075669,405,34.957000000000001,118.305700000000002,Coal, , , ,2004,Huayu Aluminum Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1973.430000000000064,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
33,CHN,China,Linyi Xincheng Jinluo Cogen power station,WRI1075670,50,35.248699999999999,118.295199999999994,Coal, , , ,2017,Linyi Xincheng Jinluo Cogen Company,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,243.629999999999995,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
34,CHN,China,Linyi power station,WRI1070337,1260,35.007100000000001,118.323899999999995,Coal, , , ,2007,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1055686, , , , , , , , , , , , , ,6139.590000000000146,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
35,CHN,China,Liyuan Cogen power station,WRI1070340,700,35.171999999999997,119.037000000000006,Coal, , , ,2016,Shandong Xinhai Technology Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3410.880000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
