FID,country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimated1,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8
69,CHN,China,Weiqiao Zouping-6 power station,WRI1070291,2640,36.897900000000000,117.784400000000005,Coal, , , ,2014,Shandong Weiqiao Aluminum Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,12863.899999999999636,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
70,CHN,China,Weiqiao Zouping-7 power station,WRI1070717,2640,36.897199999999998,117.861300000000000,Coal, , , ,2013,Weiqiao Textile Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,12863.899999999999636,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
71,CHN,China,Xinfa Xiwang power station,WRI1075758,465,36.615000000000002,116.219200000000001,Coal, , , ,2003,Shandong Xinfa Xiwang Aluminum Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,2265.800000000000182,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
72,CHN,China,Xinyuan Aluminum power station,WRI1070716,3960,36.614800000000002,116.219399999999993,Coal, , , ,2015,Chiping Xinyuan Aluminum Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1087421, , , , , , , , , , , , , ,19295.849999999998545,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
73,CHN,China,Yanzhou Mine Jisan power station,WRI1075773,270,35.268300000000004,116.659800000000004,Coal, , , ,2006,Jisan Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1315.619999999999891,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
74,CHN,China,Yunhe power station,WRI1070287,1240,35.486699999999999,116.476900000000001,Coal, , , ,2004,Huaneng Shandong Power Co Ltd,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1055235, , , , , , , , , , , , , ,6042.130000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
75,CHN,China,Zaozhuang Bayi power station,WRI1075786,700,34.828400000000002,117.271100000000004,Coal, , , ,2018,Zaozhuang Bayi Cogen Power Co,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,3410.880000000000109,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
76,CHN,China,Zaozhuang Nanjiao Cogen Power Station,WRI1075787,100,34.829599999999999,117.513000000000005,Coal, , , ,2006,Zaozhuang Nanjiao Cogen Power Co.,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,487.259999999999991,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
77,CHN,China,Zhangdian power station,WRI1075788,190,36.793799999999997,118.093900000000005,Coal, , , ,1999,Shandong Tianyuan Thermoelectricity,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,925.809999999999945,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
78,CHN,China,Zhangqiu power station,WRI1072553,890,36.728400000000001,117.403599999999997,Coal, , , ,2005,Huadian Power International Corporation Limited,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1055216, , , , , , , , , , , , , ,4336.689999999999600,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
79,CHN,China,Zhanhua Waste Coal power station,WRI1075791,240,38.011400000000002,117.978300000000004,Coal, , , ,2016,Shandong Weiqiao Group,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,1169.440000000000055,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
80,CHN,China,Zibo Hongda power station,WRI1075796,140,36.783299999999997,118.049999999999997,Coal, , , ,2004,Zibo Hongda Thermal Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT, , , , , , , , , , , , , , ,682.169999999999959,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
81,CHN,China,Zouxian power station,WRI1072548,4540,35.325600000000001,116.926100000000005,Coal, , , ,1998,China Huadian Corporation,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,1028551, , , , , , , , , , , , , ,22122.009999999998399,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
