id,Filename,Label,Longitude,Latitude,Score,Class
1,shandong25,1,120.1327778,36.01300408,0.999126852,1
2,shandong25,1,120.1964742,35.97997252,0.998557866,1
3,shandong25,1,120.1328589,36.01247067,0.998466372,1
4,shandong25,3,120.1529745,36.03826047,0.996183693,
5,shandong25,3,120.1873952,36.05354024,0.993800104,
6,shandong25,3,120.2190358,36.04032714,0.991943479,1
7,shandong25,3,120.1835092,36.05394109,0.988899589,
8,shandong25,3,120.1803964,36.05347903,0.982116759,
9,shandong25,3,120.1966366,35.9824636,0.981644511,1
10,shandong25,3,120.1809087,36.05747362,0.969595432,
11,shandong25,1,120.2158018,35.98780486,0.967277884,
12,shandong25,3,120.2185999,36.0393702,0.963714004,1
13,shandong25,3,120.1891198,36.00033997,0.961871326,
14,shandong25,3,120.1860161,36.05504167,0.961644769,
15,shandong25,4,120.1314715,36.01181132,0.954850197,1
16,shandong25,3,120.2076647,36.04366369,0.938839734,
17,shandong25,4,120.1737692,36.02031245,0.93766886,1
18,shandong25,3,120.1958234,35.98158887,0.937045157,
19,shandong25,3,120.2180786,36.03757055,0.937017381,1
20,shandong25,4,120.1486476,36.06155886,0.934239268,1
21,shandong25,4,120.1344948,35.99457579,0.932219923,
22,shandong25,4,120.2190881,36.03936375,0.915418923,1
23,shandong25,3,120.1315668,36.01224639,0.912528813,1
24,shandong25,3,120.1465852,35.99229324,0.904146135,
25,shandong25,4,120.19727,36.00013917,0.889735997,
26,shandong25,4,120.1932152,36.00581086,0.883469641,
27,shandong25,3,120.2099585,35.98130702,0.812665164,
28,shandong25,3,120.1716675,36.00769539,0.773498178,
29,shandong25,3,120.1481579,36.06209178,0.766219556,1
30,shandong25,3,120.2042697,36.0276445,0.758521557,
31,shandong25,0,120.2204685,36.05613924,0.757278442,
32,shandong25,4,120.196809,35.98237289,0.755771875,1
33,shandong25,4,120.1612938,35.98802069,0.741336346,
34,shandong25,1,120.1995126,36.05691224,0.739619195,
35,shandong25,4,120.1912456,36.02452059,0.72555083,
36,shandong25,0,120.2080308,36.06146148,0.721455991,
37,shandong25,4,120.1509776,36.02262621,0.714253008,
38,shandong25,1,120.1360712,36.07520979,0.704569995,
39,shandong25,3,120.13969,36.06718223,0.704434991,
40,shandong25,0,120.1876636,36.04759077,0.704254746,
41,shandong25,0,120.2080308,36.06071131,0.695928872,
42,shandong25,1,120.1757452,35.98559245,0.679865658,
43,shandong25,1,120.1617368,35.97860597,0.662943184,
44,shandong25,4,120.2196974,35.99022896,0.658047616,
45,shandong25,4,120.1704326,36.03955769,0.649289846,
46,shandong25,0,120.1860514,36.05074034,0.645853341,
47,shandong25,4,120.1585903,35.98582702,0.635678768,
48,shandong25,4,120.1903038,35.98278173,0.624949217,
49,shandong25,1,120.1844436,36.04871989,0.617722988,
50,shandong25,3,120.1665078,35.99542638,0.610054672,
51,shandong25,3,120.1959426,35.9876721,0.601644933,
52,shandong25,4,120.1579222,36.03862778,0.599589109,
53,shandong25,3,120.1806397,36.00242163,0.591656864,
54,shandong25,4,120.1926732,36.02295383,0.583003283,
55,shandong25,4,120.1935158,36.0277881,0.582081676,
56,shandong25,4,120.1307076,36.01175239,0.580251753,1
57,shandong25,1,120.1809086,36.05207822,0.568573058,
58,shandong25,3,120.1987303,35.994557,0.566883802,
59,shandong25,4,120.138658,35.98053162,0.549320221,
60,shandong25,0,120.1977948,36.05954897,0.540354908,
61,shandong25,4,120.1823686,36.02108299,0.539235234,
62,shandong25,0,120.2132582,36.05268181,0.53512162,
63,shandong25,4,120.2194186,36.00112785,0.529186785,
64,shandong25,1,120.16027,36.02968359,0.528635204,
65,shandong25,4,120.1890468,35.99689258,0.527235448,
66,shandong25,4,120.1718471,36.06523433,0.523892939,
67,shandong25,4,120.1384568,36.07309408,0.507843912,
68,shandong25,3,120.1815926,36.05701157,0.507123113,
69,shandong25,4,120.1688424,36.05880332,0.500300169,
70,shandong25,1,120.1757807,35.98509945,0.495666921,
71,shandong25,3,120.1593696,36.04738662,0.494804561,
72,shandong25,4,120.2072433,36.00930556,0.493080646,
73,shandong25,0,120.1809089,36.05207133,0.49284029,
74,shandong25,4,120.1896993,36.0407305,0.488172144,
75,shandong25,4,120.2101162,36.01305907,0.486089706,
76,shandong25,4,120.1874206,35.99020211,0.47861141,
77,shandong25,1,120.2080499,36.06071984,0.478218406,
78,shandong25,3,120.2014752,35.99480536,0.475139618,
79,shandong25,1,120.2139966,36.05595309,0.46586448,
80,shandong25,3,120.1843789,36.00647375,0.457514405,
81,shandong25,3,120.1293925,36.00009376,0.447129488,
