Longitude,Latitude,condensing_tower,chimney,power_plant_unit,total_score
120.1318716370023,36.01216498801817,0.4237535144331221,0.1825057625770569,0.7675509750843048,1.3738102520944837
120.19621642894367,35.98126533626247,0.2995673596858978,0.27134369507232514,0.37788593769073486,0.9487969924489579
120.21863696226535,36.0389125153128,0.0,0.3277402311563492,0.4577094614505768,0.785449692606926
120.18065361888493,36.052775520497974,0.22515977274465138,0.19642335176467896,0.0,0.42158312450933033
120.18125066896928,36.05724259916098,0.0,0.10441976970451633,0.0,0.10441976970451633
120.1484027225422,36.061825315372076,0.0,0.15324391126632692,0.4671196341514588,0.6203635454177857
120.2204310607338,36.05648281768641,0.11498816151092303,0.0,0.0,0.11498816151092303
120.2080403578275,36.06109007072977,0.1724006563425064,0.0,0.0,0.1724006563425064
120.18735536483997,36.04756712841461,0.13383274952772023,0.0,0.0,0.13383274952772023
120.17576298064617,35.985345950365705,0.12468405876225118,0.0,0.0,0.12468405876225118
120.21880880623901,35.989788878684394,0.0,0.0,0.2662244215607643,0.2662244215607643
120.1977954784492,36.05955187988094,0.09575425647848702,0.0,0.0,0.09575425647848702
120.21376249025364,36.054286959653474,0.11548420608453173,0.0,0.0,0.11548420608453173
120.21330623348945,36.061164946688535,0.08073708990233412,0.0,0.0,0.08073708990233412
