GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
G100000113036,L100000101242,China,https://www.gem.wiki/Hongdunjie_power_station,Hongdunjie power station,Unit 1,"红墩界煤电一体化项目 (Unit 1), 陕西枣矿红墩界2×660MW机组煤电一体化发电工程项目, Zaokuang Hongdunjie power station, 榆林红墩界电厂 (Unit 1)",山东能源陕西枣矿红墩界煤电项目,Shaanxi Zaokuang Hongdunjie Coal Power Co Ltd [100%],Shandong Energy Group Co Ltd [47.9%]; China Cinda Asset Management Co Ltd [20.7%]; Shandong Guohui Investment Co Ltd [13.7%]; Shandong Luxin Investment Holdings Group Co Ltd [9.8%]; Shandong Caixin Asset Operation Co Ltd [7.9%],660,construction,2024,,,ultra-supercritical,bituminous,,,Hongdunjie Town,Jingbian,Yulin,Shaanxi,Eastern Asia,Asia,37.890446,108.914963,exact,2016,2016,Year: 2016,,,,0,0.53,8272,94600,2.529998853,40,101.1999541
G100000103933,L100000100863,China,https://www.gem.wiki/Hongjun_Aluminum_power_station,Hongjun Aluminum power station,Phase A Unit 1,"Tongliao Huolinhe power station (Phase B Unit 7, Phase B Unit 8)",国家电投内蒙能源霍煤鸿骏电厂,Inner Mongolia Huomeihongjun Aluminium & Electricity Co Ltd [100%],INNER MONGOLIA DIAN TOU ENERGY Corporation Ltd [51.0%]; State Power Investment Corp Ltd [35.7%]; Ronghe Diantou No.7 (Jiaxing) Venture Capital Partnership LP [13.3%],50,retired,2005,2015,,subcritical,waste coal,,,South of Holinhe City,Holingol,Tongliao,Inner Mongolia,Eastern Asia,Asia,45.4998815,119.6544353,exact,,,,aluminum,both,heat,10,0.53,11312.6,94600,0.262118877,0,0
G100000103950,L100000101635,China,https://www.gem.wiki/Hongyanchi-1_power_station,Hongyanchi-1 power station,Expansion Phase I Unit 10,"国电新疆红雁池发电厂扩建项目一期 (Expansion Phase I Unit 10, Expansion Phase I Unit 11), 国电新疆红雁池发电厂扩建项目二期 (Expansion Phase II Unit 12, Expansion Phase II Unit 13)",国电新疆红雁池发电厂,State Power Xinjiang Hongyanchi Power Generation Co Ltd [100%],China Huadian Group Corp [100.0%],330,operating,2011,,,subcritical,bituminous,,,Hongyanchi Reservoir,Tianshan,Ürümqi,Xinjiang,Eastern Asia,Asia,43.7280648,87.6293564,exact,21-Aug-08,21-Aug-08,"Year: 2008, Month: 8, Day: 21",,,,13,0.53,10442.4,94600,1.59690885,27,43.11653896
G100000103959,L100000101636,China,https://www.gem.wiki/Hongyanchi-2_power_station,Hongyanchi-2 power station,Phase I Unit 1,,华电新疆红雁池发电厂,State Power Xinjiang Hongyanchi Power Generation Co Ltd [100%],China Huadian Group Corp [100.0%],200,operating,2001,,2016,subcritical,bituminous,,,,Tianshan,Ürümqi,Xinjiang,Eastern Asia,Asia,43.7432432,87.6574981,exact,,,,,,,23,0.53,12182.8,94600,1.12912747,5,5.645637349
G100000103968,L100000101153,China,https://www.gem.wiki/Hongyang_cogen_power_station,Hongyang cogen power station,Unit 1,,辽宁能源控股集团红阳热电厂,Liaoning Shenmei Hongyang Thermal Power Co Ltd [100%],Shenyang Coal Industry (Group) Co Ltd [55.6%]; other [17.7%]; China Cinda Asset Management Co Ltd [16.4%]; Liaoning Huida Enterprise Management Co Ltd [6.2%]; Tibet Shannan Jintian Investment Partnership Enterprise LP [1.6%]; Tibet Shannan Jinrui Investment Partnership Enterprise LP [1.6%]; Tibet Shannan Jinqiang Investment Partnership Enterprise LP [0.9%],300,operating,2010,,,subcritical,waste coal,,,Ximafeng,Dengta,Liaoyang,Liaoning,Eastern Asia,Asia,41.35703,123.22195,exact,,,,,,,14,0.53,10442.4,94600,1.451735318,26,37.74511828
G100000103965,L100000100987,China,https://www.gem.wiki/Hongyang_Lianyungang_power_station,Hongyang Lianyungang power station,Unit 1,,盛虹石化连云港虹洋热电,Lianyungang Hongyang Thermal Power Co Ltd [100%],Jiangsu Fangyang Group Co Ltd [50.0%]; Wujiang Wuda Trading Co Ltd [42.0%]; Suzhou Huaxia Group Co Ltd [5.8%]; Wujiang Yichang Trade Co Ltd [2.2%],40,operating,2016,,,subcritical,unknown,,,Xuwei New Area - Lianyungang City,Xuwei,Lianyungang,Jiangsu,Eastern Asia,Asia,34.551672,119.579492,exact,,,,chemicals,both,,8,0.53,10442.4,96100,0.196633917,32,6.292285343
G100000113513,L100000101095,China,https://www.gem.wiki/Hongyuan_Waste_Coal_Cogen_power_station,Hongyuan Waste Coal Cogen power station,Unit 1,Kaibo Cogen power station,舒兰宏源煤矸石热电,Shulan Hongyuan Coal Gangue Thermal Power Co Ltd [100%],Jilin City State-Owned Capital Development Holding Group Co Ltd [28.7%]; Shulan Shengji Property Co Ltd [20.0%]; Beijing Guoju Investment Holding Group Co Ltd [15.1%]; Jilin Tongxin Heating Group Co Ltd [12.1%]; Beijing Dayue Consulting Co Ltd [7.9%]; Beijing Dayue Information Consulting Center LP [7.9%]; natural person(s) [7.5%]; China Development Bank Corp [0.9%],35,operating,2018,,,unknown,waste coal,,,Hongshi Village,Shulan,Jilin,Jilin,Eastern Asia,Asia,44.419631,126.966326,exact,,,,,,,6,0.53,10326,94600,0.167481186,34,5.694360328
G100000115061,L100000104828,China,https://www.gem.wiki/Hotan_power_station,Hotan power station,Unit 1,,新疆和田热电联产项目,Xinjiang Energy (Group) Hetian Energy Co Ltd [100%],Xinjiang Energy (Group) Co Ltd [100.0%],350,construction,,,,unknown,unknown,,,Kunlun Lake Community,Gujiang Bage Town,Hotan,Xinjiang,Eastern Asia,Asia,37.2661537,79.9923769,exact,9-Jun-21,9-Jun-21,"Year: 2021, Month: 6, Day: 9",,,,0,0.53,9465.5,96100,1.559587402,40,62.38349607
G100000113771,L100000101470,China,https://www.gem.wiki/Houma_Jintian_Cogen_power_station,Houma Jintian Cogen power station,Unit 1,,晋能侯马晋田热电,Shanxi Houma Jintian Thermoelectricity Co Ltd [100%],State Grid Shanxi Electric Power Company Trade Union Committee [45.7%]; Shanxi Electric Power [34.8%]; Shanxi Electric Power Trade Union Committee [19.6%],50,retired,2002,2017,,subcritical,unknown,,,,Houma,Linfen,Shanxi,Eastern Asia,Asia,35.607577,111.368867,exact,,,,,,,15,0.53,11312.6,96100,0.266275096,0,0
G100000103978,L100000100291,China,https://www.gem.wiki/Houshi_power_station,Houshi power station,Phase III Unit 5,,台塑后石发电厂,Huayang Electric Power Co Ltd [100%],Huayang Investment (Hong Kong) Ltd [100.0%],600,operating,2003,,,supercritical,bituminous,,,Gangwei Town Houshi Villege,Longhai,Zhangzhou,Fujian,Eastern Asia,Asia,24.3030594,118.1259157,exact,,,,,,,21,0.53,10090.8,94600,2.805709559,19,53.30848163
